Cable Name,IL_10MHz,IL_50MHz,IL_100MHz,IL_500MHz,IL_1000MHz,IL_5000MHz,DataRate(Mbps),preW,mainW,postW,dpre,dpost,Rdrv,eyeSNR
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.4,1100,1.643295
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.6,300,1.918784
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.6,700,1.804337
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.6,1100,1.807303
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.8,300,2.128157
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.8,700,1.984182
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.2,0.8,1100,1.751798
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.2,300,1.753573
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.2,700,1.538092
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.2,1100,1.722254
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.4,300,1.8091
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.4,700,1.636274
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.4,1100,1.644991
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.6,300,1.910779
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.6,700,1.807023
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.6,1100,1.807808
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.8,300,2.128104
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.8,700,1.99064
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.4,0.8,1100,1.753023
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.2,300,1.748256
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.2,700,1.530944
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.2,1100,1.490137
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.4,300,1.80655
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.4,700,1.642179
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.4,1100,1.638761
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.6,300,1.920997
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.6,700,1.80137
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.6,1100,1.81016
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.8,300,2.124195
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.8,700,1.998581
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.6,0.8,1100,1.846155
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.2,300,1.754222
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.2,700,1.555673
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.2,1100,1.488755
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.4,300,1.81542
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.4,700,1.676483
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.4,1100,1.666559
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.6,300,1.940781
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.6,700,1.838395
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.6,1100,1.841167
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.8,300,2.175308
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.8,700,2.018443
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,1,7,0.8,0.8,1100,1.866299
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.2,300,2.504064
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.2,700,2.112688
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.2,1100,2.182194
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.4,300,2.569503
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.4,700,2.532485
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.4,1100,2.253033
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.6,300,2.447892
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.6,700,2.00197
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.6,1100,1.994646
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.8,300,2.485941
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.8,700,2.115856
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.2,0.8,1100,1.973566
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.2,300,2.493793
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.2,700,2.106164
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.2,1100,2.188381
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.4,300,2.511788
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.4,700,2.473575
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.4,1100,2.34877
PetersB1,-2.45,-2.54,-2.63,-3.14,-3.9,-18.88,1000,0,3,0,0.4,0.6,300,2.459806
